year,month,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
2014,7,24.1,5.1,20.6,11.1,35.0,2.2,8.7,33,182.8
2014,8,21.6,3.3,18.0,9.8,173.0,-0.3,11.4,36,158.6
2014,9,22.0,3.7,17.8,8.4,26.5,0.3,6.5,28,141.2
2014,10,18.9,-0.6,14.8,7.0,90.2,-3.4,11.5,47,115.3
2014,11,15.0,-2.4,10.9,4.5,140.9,-6.4,9.1,44,63.1
2014,12,13.2,-3.9,7.9,2.8,55.9,-9.7,13.9,49,81.9
2015,1,14.4,-6.0,7.9,1.5,47.7,-9.3,15.1,58,92.4
2015,2,12.6,-7.9,7.4,0.6,34.6,-10.9,10.8,52,79.2
2015,3,14.2,-4.0,9.9,1.6,57.5,-7.3,12.9,56,155.9
2015,4,18.1,-2.7,13.0,1.8,43.9,-7.0,9.4,42,229.9
2015,5,18.4,0.5,13.8,5.4,90.5,-3.3,12.6,43,165.9
2015,6,24.7,0.7,17.7,8.0,14.1,-3.2,10.5,51,204.3
2015,7,23.4,3.9,18.1,9.5,69.2,0.8,10.5,36,134.5
2015,8,23.3,3.8,18.3,9.6,100.1,-0.7,9.2,37,158.1
